Symptom,Herbal_Remedies
anxiety,"jeera, mulethi, haritaki"
bloating,"shatavari, cinnamon"
sore throat,"kulthi, tulsi, sandalwood oil"
knee pain,"sandalwood oil, jatamansi, shankhpushpi, ashwagandha"
stress,"mulethi, cardamom, fennel"
cold sores,"bhringraj, fennel"
eye strain,"garlic, nutmeg, punarnava"
chickenpox,"neem, mulethi, manjistha"
gastritis,"haritaki, ashwagandha, castor oil"
sore throat,"neem, mulethi, triphala"
acne,"shatavari, castor oil, nutmeg"
irritability,"black pepper, jeera, bhringraj, amla"
liver issues,"arjuna bark, nutmeg"
body odor,"manjistha, jatamansi, camphor, mulethi"
memory loss,"yastimadhu, cardamom, onion extract, sandalwood oil"
cold feet,"daruharidra, fenugreek"
hair fall,"honey, amla"
low appetite,"yastimadhu, brahmi, ginger, onion extract"
rheumatism,"fennel, tulsi, rock salt, brahmi"
itching,"yastimadhu, jeera, bhringraj"
back pain,"amla, kulthi, mint"
sinusitis,"guggulu, arjuna bark"
fever,"jeera, cinnamon"
nausea,"shankhpushpi, bhumi amla, shatavari, aloe vera"
kidney stone,"buttermilk, onion extract, bhringraj"
knee pain,"manjistha, clove"
mouth ulcers,"fennel, clove, cinnamon"
vomiting,"vidarikanda, punarnava, neem, ginger"
allergic rhinitis,"til oil, ajwain, garlic, arjuna bark"
chest congestion,"ghee, manjistha"
muscle pain,"shatavari, sandalwood oil"
low blood pressure,"turmeric, shankhpushpi"
memory loss,"pippali, camphor, yastimadhu"
hepatitis,"manjistha, black pepper, honey"
itchy eyes,"kesar, black pepper, jeera"
headache,"licorice root, garlic, basil"
fracture pain,"manjistha, black pepper, neem"
low energy,"coriander, vidarikanda, fenugreek"
cracked heels,"garlic, pippali, fennel"
restlessness,"fenugreek, daruharidra, castor oil"
gas,"til oil, mulethi, licorice root"
cold,"onion extract, nutmeg, gokshura, cardamom"
gallstone,"kulthi, arjuna bark"
weak bones,"til oil, yastimadhu, amla, turmeric"
acne,"punarnava, ghee, aloe vera, garlic"
gallstone,"garlic, tulsi, triphala, gokshura"
low appetite,"castor oil, til oil, bhumi amla, jatamansi"
migraine,"punarnava, bhumi amla"
back pain,"tulsi, ginger, rock salt, cardamom"
memory loss,"sandalwood oil, tulsi, garlic, lemongrass"
measles,"nutmeg, cardamom, black pepper, clove"
psoriasis,"yastimadhu, ghee, cardamom"
enlarged liver,"black pepper, honey, punarnava"
greasy skin,"manjistha, turmeric, daruharidra, kulthi"
restlessness,"rock salt, ajwain, lemongrass, garlic"
joint pain,"fennel, sandalwood oil"
indigestion,"tulsi, brahmi, sandalwood oil"
watery eyes,"daruharidra, basil, yastimadhu"
tongue sores,"ginger, daruharidra"
watery eyes,"punarnava, gotu kola, arjuna bark"
ear discharge,"manjistha, gotu kola, buttermilk, lemongrass"
underweight,"licorice root, bhumi amla, mint"
stress,"basil, cinnamon, jatamansi, neem"
brittle nails,"black pepper, arjuna bark"
whooping cough,"vidarikanda, jatamansi"
hernia,"rock salt, kesar, bhumi amla"
motion sickness,"clove, cardamom"
colitis,"til oil, honey"
sensitivity to cold,"triphala, haritaki, manjistha"
back pain,"bhringraj, amla"
sweaty palms,"camphor, clove, amla"
delayed periods,"mulethi, gotu kola"
colitis,"pippali, buttermilk"
eczema,"daruharidra, rock salt"
throat infection,"fenugreek, coriander"
foot pain,"licorice root, turmeric"
dry skin,"bhringraj, mulethi"
early menopause,"pippali, ashwagandha, haritaki, shatavari"
ear discharge,"honey, ginger, gokshura"
hepatitis,"vidarikanda, camphor"
cracked heels,"brahmi, lemongrass"
restlessness,"castor oil, punarnava, rock salt"
varicose veins,"clove, haritaki"
dry cough,"black pepper, til oil"
irritability,"triphala, jatamansi, lemongrass, arjuna bark"
cold sores,"brahmi, triphala, jatamansi"
vomiting,"punarnava, camphor, onion extract"
sinusitis,"vidarikanda, camphor, black pepper, basil"
neck pain,"punarnava, cinnamon, shankhpushpi, fennel"
menstrual cramps,"lemongrass, turmeric, licorice root"
migraine,"guggulu, aloe vera, gokshura"
infertility,"clove, yastimadhu"
numbness,"jeera, clove"
cramps,"ghee, vidarikanda, rock salt, yastimadhu"
allergic rhinitis,"rock salt, ghee"
greasy skin,"gotu kola, tulsi, buttermilk, brahmi"
urinary infection,"coriander, gokshura, brahmi, rock salt"
fracture pain,"jeera, nutmeg, manjistha"
hepatitis,"haritaki, vidarikanda"
toothache,"ajwain, cardamom"
diabetes,"sandalwood oil, nutmeg, amla, ghee"
foot pain,"honey, ginger, gotu kola"
ear discharge,"castor oil, fennel, turmeric, vidarikanda"
fracture pain,"tulsi, sandalwood oil, lemongrass"
greasy skin,"daruharidra, turmeric, mulethi"
obesity,"jeera, camphor, lemongrass"
cracked heels,"kulthi, daruharidra, nutmeg, vidarikanda"
enlarged liver,"neem, pippali, honey"
tremors,"gotu kola, haritaki, guggulu, basil"
low appetite,"sandalwood oil, gotu kola, ginger"
sweaty palms,"rock salt, clove"
toothache,"garlic, lemongrass"
depression,"nutmeg, turmeric, jeera"
obesity,"yastimadhu, nutmeg, jatamansi"
menstrual cramps,"ghee, camphor, punarnava, coriander"
vision loss,"licorice root, black pepper, neem"
chest congestion,"daruharidra, garlic, clove, punarnava"
sweaty palms,"ghee, kesar, aloe vera"
ear discharge,"tulsi, fennel"
sensitivity to cold,"pippali, cinnamon"
dry eyes,"bhumi amla, onion extract, ajwain"
mouth ulcers,"til oil, fennel, turmeric"
irritability,"bhringraj, basil, buttermilk, til oil"
gastritis,"castor oil, amla"
bedwetting,"guggulu, triphala"
insomnia,"haritaki, gokshura, aloe vera, bhumi amla"
fracture pain,"cinnamon, yastimadhu, triphala, licorice root"
mouth ulcers,"pippali, sandalwood oil, manjistha, gokshura"
spleen pain,"buttermilk, clove, kesar, neem"
insomnia,"nutmeg, buttermilk"
psoriasis,"vidarikanda, lemongrass"
numbness,"shatavari, onion extract"
stress,"mint, garlic, til oil, fenugreek"
sinusitis,"gokshura, shatavari, ghee"
fatigue,"lemongrass, til oil, daruharidra"
hot flashes,"fennel, amla, punarnava"
vision loss,"ghee, jeera, fenugreek, cinnamon"
anxiety,"ashwagandha, bhumi amla, jatamansi, coriander"
diabetes,"buttermilk, brahmi, garlic, onion extract"
blurred vision,"camphor, punarnava, kulthi"
panic attacks,"ajwain, aloe vera, camphor, punarnava"
weak bones,"gokshura, brahmi, lemongrass"
lack of focus,"jeera, coriander, neem, mulethi"
whooping cough,"gotu kola, bhringraj, ginger, triphala"
irritability,"garlic, mulethi"
mouth ulcers,"bhumi amla, honey"
bloating,"triphala, ghee"
bedwetting,"turmeric, punarnava, manjistha, fenugreek"
rheumatism,"sandalwood oil, mulethi, fenugreek"
sensitivity to cold,"licorice root, arjuna bark"
watery eyes,"brahmi, lemongrass, camphor"
flu,"pippali, punarnava, tulsi, vidarikanda"
fluid retention,"mint, aloe vera, vidarikanda, til oil"
vomiting,"manjistha, nutmeg"
underweight,"guggulu, shatavari, ashwagandha"
palpitations,"shatavari, jatamansi, mint"
hair fall,"honey, cinnamon, basil, mulethi"
hepatitis,"punarnava, jeera, manjistha, gokshura"
eczema,"nutmeg, sandalwood oil, gokshura, yastimadhu"
stomach cramps,"shankhpushpi, shatavari"
cramps,"honey, tulsi, vidarikanda"
hot flashes,"shatavari, gotu kola, vidarikanda"
panic attacks,"fenugreek, lemongrass, fennel"
underweight,"turmeric, ashwagandha"
cold,"tulsi, mint, cinnamon"
stomach cramps,"amla, guggulu"
hiccups,"coriander, rock salt"
appendicitis,"rock salt, gokshura, amla, neem"
weak bones,"black pepper, triphala, tulsi, gotu kola"
cramps,"sandalwood oil, pippali"
greasy skin,"gokshura, ajwain, amla, clove"
eczema,"sandalwood oil, manjistha, triphala, ghee"
rheumatism,"castor oil, shankhpushpi, fenugreek, bhumi amla"
liver issues,"coriander, ginger, gotu kola, castor oil"
sweaty palms,"kesar, pippali"
toothache,"garlic, lemongrass"
sciatica,"punarnava, camphor"
sore throat,"nutmeg, black pepper, lemongrass, manjistha"
bad breath,"daruharidra, turmeric, fenugreek, ginger"
kidney stone,"ajwain, ghee"
shingles,"gotu kola, jeera, black pepper"
stress,"kulthi, turmeric"
motion sickness,"yastimadhu, cinnamon"
indigestion,"punarnava, mulethi, ginger"
constipation,"ghee, guggulu, haritaki"
ear discharge,"mulethi, sandalwood oil"
fatigue,"cinnamon, nutmeg, licorice root, clove"
whooping cough,"jeera, amla, ghee, camphor"
eczema,"mint, camphor"
blurred vision,"turmeric, brahmi, lemongrass, jeera"
back pain,"yastimadhu, mulethi, ghee, kulthi"
spleen pain,"punarnava, ginger, coriander"
back pain,"fenugreek, pippali, tulsi"
tinnitus,"lemongrass, punarnava, bhringraj"
ear pain,"mint, kesar, vidarikanda, ajwain"
pms symptoms,"turmeric, lemongrass, black pepper, til oil"
fever,"ashwagandha, ghee"
hiccups,"punarnava, nutmeg, kulthi, bhringraj"
watery eyes,"kulthi, brahmi"
asthma,"honey, pippali, cardamom, clove"
obesity,"ashwagandha, jeera, gotu kola, bhringraj"
low energy,"kulthi, mint"
cracked heels,"lemongrass, fenugreek, turmeric, brahmi"
gas,"amla, buttermilk"
greasy skin,"amla, fenugreek, fennel"
diabetes,"onion extract, bhringraj, ajwain, basil"
low libido,"vidarikanda, punarnava, castor oil, brahmi"
insomnia,"daruharidra, ashwagandha, mulethi"
headache,"vidarikanda, brahmi, guggulu"
shingles,"kesar, aloe vera, mulethi"
acidity,"fennel, neem, garlic"
early menopause,"basil, guggulu"
underweight,"arjuna bark, coriander, sandalwood oil"
indigestion,"mulethi, cardamom, cinnamon"
sinusitis,"jatamansi, arjuna bark, neem, cinnamon"
cracked heels,"mulethi, gokshura, black pepper, nutmeg"
headache,"castor oil, clove"
sensitivity to cold,"fennel, castor oil, cinnamon, ashwagandha"
gastritis,"ashwagandha, jatamansi, tulsi"
knee pain,"clove, bhringraj, gotu kola, shatavari"
colitis,"shankhpushpi, amla"
kidney stone,"bhringraj, til oil"
hair greying,"til oil, black pepper, daruharidra, ginger"
palpitations,"amla, aloe vera, til oil"
kidney stone,"jatamansi, brahmi"
hernia,"nutmeg, licorice root, kesar, ghee"
vomiting,"kesar, cinnamon, fennel, punarnava"
restlessness,"yastimadhu, manjistha, mint, vidarikanda"
low energy,"turmeric, bhumi amla"
heat intolerance,"black pepper, kulthi, kesar, brahmi"
kidney stone,"ginger, ashwagandha, clove, triphala"
infertility,"yastimadhu, kesar, triphala, fenugreek"
cracked heels,"ginger, gotu kola, gokshura"
early menopause,"arjuna bark, tulsi, haritaki"
headache,"jeera, ashwagandha"
ear pain,"jatamansi, mint, til oil, lemongrass"
hernia,"fennel, mulethi, ashwagandha, triphala"
cold,"garlic, triphala, til oil, ginger"
hypopigmentation,"licorice root, fenugreek"
brittle nails,"gokshura, onion extract, fennel, basil"
enlarged liver,"bhumi amla, turmeric"
psoriasis,"neem, lemongrass, cardamom, guggulu"
gas,"aloe vera, ghee, coriander"
colitis,"ghee, fenugreek, amla, coriander"
vomiting,"neem, honey, licorice root"
tinnitus,"ginger, jatamansi"
toothache,"kulthi, nutmeg, haritaki, fenugreek"
sensitivity to cold,"ginger, tulsi, garlic, yastimadhu"
frequent urination,"jatamansi, buttermilk"
bronchitis,"kulthi, triphala, haritaki, arjuna bark"
constipation,"ghee, bhumi amla, ginger"
ear pain,"castor oil, tulsi, kesar, pippali"
sore throat,"punarnava, fennel, aloe vera"
kidney stone,"coriander, cardamom"
asthma,"bhringraj, mulethi"
eczema,"guggulu, shankhpushpi, kulthi, rock salt"
vision loss,"kesar, til oil, buttermilk"
low blood pressure,"vidarikanda, brahmi, clove"
swollen ankles,"camphor, ajwain, jeera, bhumi amla"
spleen pain,"triphala, bhringraj"
blurred vision,"gotu kola, kesar, amla"
tinnitus,"camphor, castor oil, rock salt, jatamansi"
hypopigmentation,"coriander, jatamansi"
skin rash,"fennel, fenugreek, shatavari, turmeric"
diabetes,"haritaki, lemongrass, gotu kola, camphor"
liver issues,"basil, lemongrass"
sensitivity to cold,"clove, cinnamon, lemongrass, bhumi amla"
hair greying,"arjuna bark, gotu kola, basil, jatamansi"
sore throat,"nutmeg, jatamansi, brahmi, arjuna bark"
rheumatism,"castor oil, kulthi"
back pain,"clove, honey"
gastritis,"mint, triphala, turmeric"
cracked heels,"shatavari, bhringraj, cinnamon"
kidney stone,"clove, kulthi, brahmi, ghee"
underweight,"honey, aloe vera"
vision loss,"black pepper, kesar, guggulu, castor oil"
knee pain,"lemongrass, pippali, mint"
low appetite,"shankhpushpi, onion extract, clove"
underweight,"shankhpushpi, triphala, vidarikanda, bhringraj"
hepatitis,"honey, gokshura, buttermilk"
fever,"ashwagandha, bhumi amla, bhringraj"
acidity,"lemongrass, manjistha"
ear pain,"til oil, clove, shatavari, yastimadhu"
varicose veins,"shankhpushpi, clove"
fluid retention,"camphor, tulsi"
enlarged liver,"black pepper, nutmeg"
hair greying,"gokshura, vidarikanda, pippali"
spleen pain,"neem, sandalwood oil, arjuna bark, guggulu"
diabetes,"arjuna bark, bhringraj, nutmeg, daruharidra"
tinnitus,"sandalwood oil, bhumi amla"
muscle pain,"mint, clove, mulethi"
infertility,"licorice root, arjuna bark"
tremors,"haritaki, sandalwood oil"
bad breath,"arjuna bark, licorice root"
infertility,"haritaki, garlic, mulethi"
liver issues,"ashwagandha, ghee"
vomiting,"haritaki, gokshura"
rheumatism,"pippali, nutmeg"
dry cough,"pippali, fennel, clove"
tremors,"black pepper, honey, fennel, brahmi"
hearing loss,"guggulu, punarnava, sandalwood oil, pippali"
motion sickness,"ashwagandha, licorice root, triphala"
obesity,"neem, kulthi, licorice root, vidarikanda"
back pain,"ghee, buttermilk, onion extract, turmeric"
flu,"mint, jatamansi"
hot flashes,"amla, honey, manjistha"
bloating,"bhumi amla, fennel, arjuna bark, punarnava"
itching,"nutmeg, garlic, punarnava, yastimadhu"
bedwetting,"ghee, kesar"
restlessness,"nutmeg, coriander, arjuna bark"
diabetes,"garlic, black pepper"
acidity,"sandalwood oil, manjistha"
chickenpox,"black pepper, bhumi amla, tulsi, basil"
excessive hunger,"onion extract, basil, fennel, camphor"
constipation,"ginger, daruharidra"
pms symptoms,"bhringraj, fennel"
shingles,"bhringraj, fennel"
chest congestion,"arjuna bark, yastimadhu, coriander"
irritability,"castor oil, bhringraj, turmeric, jeera"
fluid retention,"vidarikanda, cinnamon, onion extract"
toothache,"amla, turmeric, black pepper"
indigestion,"aloe vera, ajwain"
foot pain,"fenugreek, ginger, haritaki, honey"
diabetes,"fennel, arjuna bark"
shingles,"turmeric, ajwain, camphor"
allergic rhinitis,"shatavari, cardamom, triphala, onion extract"
dry eyes,"neem, coriander, manjistha"
panic attacks,"aloe vera, bhumi amla, jeera, triphala"
varicose veins,"tulsi, guggulu, gokshura, sandalwood oil"
cold,"lemongrass, clove"
panic attacks,"punarnava, vidarikanda, licorice root"
sweaty palms,"mulethi, sandalwood oil, aloe vera, gokshura"
enlarged liver,"black pepper, fennel, camphor, tulsi"
stress,"bhumi amla, cinnamon, jeera"
flu,"aloe vera, amla, fennel"
liver issues,"gotu kola, camphor, til oil"
chickenpox,"punarnava, mulethi, clove"
hearing loss,"sandalwood oil, brahmi"
low immunity,"gokshura, daruharidra"
early menopause,"basil, kesar, arjuna bark"
knee pain,"cardamom, bhringraj, bhumi amla"
sunburn,"brahmi, tulsi"
gas,"arjuna bark, shatavari, castor oil, kulthi"
motion sickness,"kulthi, fennel"
palpitations,"pippali, onion extract"
tongue sores,"ashwagandha, basil, kesar, gokshura"
menstrual cramps,"til oil, castor oil, arjuna bark, lemongrass"
kidney stone,"licorice root, ginger"
gastritis,"fennel, basil, black pepper, amla"
hepatitis,"coriander, punarnava"
morning sickness,"pippali, til oil"
gum bleeding,"buttermilk, clove, mint, licorice root"
itchy eyes,"mulethi, triphala, turmeric, til oil"
numbness,"pippali, ajwain"
dark circles,"gokshura, fennel"
dry eyes,"bhumi amla, brahmi, licorice root"
dandruff,"shatavari, fennel, kulthi, ginger"
psoriasis,"black pepper, yastimadhu, sandalwood oil, fennel"
panic attacks,"cardamom, neem, arjuna bark"
hot flashes,"nutmeg, bhumi amla, cinnamon"
bloating,"amla, onion extract, til oil"
measles,"sandalwood oil, coriander"
depression,"castor oil, guggulu"
hepatitis,"honey, bhumi amla"
hiccups,"shatavari, shankhpushpi"
blurred vision,"kulthi, bhringraj, ghee, triphala"
flu,"bhringraj, rock salt, sandalwood oil, neem"
stomach cramps,"jatamansi, triphala, castor oil, neem"
dry cough,"arjuna bark, triphala"
dark circles,"basil, yastimadhu"
fever,"jeera, arjuna bark"
neck pain,"neem, haritaki, bhumi amla, mint"
gastritis,"jatamansi, manjistha, cardamom, turmeric"
body odor,"ghee, turmeric, triphala"
colitis,"lemongrass, neem"
stomach cramps,"bhringraj, mint"
laryngitis,"aloe vera, jeera, turmeric, honey"
cold feet,"pippali, triphala"
brittle nails,"jatamansi, bhumi amla, cinnamon"
sore throat,"bhringraj, haritaki, arjuna bark"
stomach cramps,"cinnamon, til oil, pippali, fenugreek"
fatigue,"kulthi, yastimadhu"
bad breath,"haritaki, gokshura, shatavari, tulsi"
cold feet,"rock salt, coriander, bhringraj"
cold feet,"daruharidra, kesar, amla"
ear discharge,"ghee, shankhpushpi, cardamom, camphor"
whooping cough,"neem, fenugreek, licorice root, guggulu"
mental fog,"fennel, ghee, ajwain"
ear discharge,"ajwain, manjistha, cardamom, arjuna bark"
morning sickness,"bhumi amla, onion extract"
hernia,"amla, rock salt, cinnamon, black pepper"
eye strain,"ghee, licorice root, gokshura, cardamom"
allergic rhinitis,"ashwagandha, kesar, nutmeg, bhumi amla"
gallstone,"daruharidra, buttermilk"
dry cough,"kesar, camphor"
rheumatism,"cinnamon, kulthi"
migraine,"shankhpushpi, ghee, licorice root"
asthma,"shatavari, triphala"
hepatitis,"camphor, jeera"
flu,"arjuna bark, buttermilk, kulthi"
liver issues,"clove, basil"
numbness,"ajwain, yastimadhu, black pepper"
depression,"black pepper, haritaki"
dandruff,"pippali, cardamom, arjuna bark, mint"
weak bones,"triphala, mint, bhringraj, gotu kola"
gastritis,"ghee, onion extract"
sunburn,"gokshura, yastimadhu"
eye strain,"black pepper, garlic"
dandruff,"neem, mint"
measles,"camphor, coriander"
motion sickness,"black pepper, triphala, neem, castor oil"
laryngitis,"jatamansi, bhumi amla, shatavari"
low appetite,"gotu kola, triphala, ginger, nutmeg"
sleep apnea,"mint, turmeric"
mental fog,"basil, manjistha, buttermilk, aloe vera"
bronchitis,"nutmeg, onion extract, vidarikanda, buttermilk"
enlarged liver,"shatavari, pippali"
